TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,NUMBER_OF_SALES,MONTH_ID,MONTH_NAME,DAY_NAME,TIME_BUCKET,SPEND_BANDS,PRODUCT_CATEGORY,PRODUCT_TYPE,PRODUCT_DETAIL,STORE_LOCATION
51.00,17,76598,202301,Jan,Sun,Morning,High,Coffee,Gourmet brewed coffee,Ethiopia Rg,Lower Manhattan
52.70,17,72191,202301,Jan,Sun,Morning,High,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Lower Manhattan
76.50,17,101129,202301,Jan,Sun,Morning,Very High,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Lower Manhattan
44.00,22,77021,202301,Jan,Sun,Morning,High,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Lower Manhattan
36.00,12,76274,202301,Jan,Sun,Morning,Med,Bakery,Scone,Oatmeal Scone,Lower Manhattan
34.00,17,68026,202301,Jan,Sun,Morning,Med,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Lower Manhattan
93.50,22,128120,202301,Jan,Sun,Morning,Very High,Coffee,Barista Espresso,Latte Rg,Lower Manhattan
52.50,15,68911,202301,Jan,Sun,Morning,High,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Lower Manhattan
51.00,20,65253,202301,Jan,Sun,Morning,High,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Lower Manhattan
70.00,20,100616,202301,Jan,Sun,Morning,Very High,Coffee,Gourmet brewed coffee,Ethiopia Lg,Lower Manhattan
57.00,19,77014,202301,Jan,Sun,Morning,High,Tea,Brewed Green tea,Serenity Green Tea Lg,Lower Manhattan
37.50,10,68552,202301,Jan,Sun,Morning,Med,Bakery,Scone,Jumbo Savory Scone,Lower Manhattan
35.00,14,84427,202301,Jan,Sun,Morning,Med,Tea,Brewed herbal tea,Lemon Grass Rg,Hell's Kitchen
73.50,21,92931,202301,Jan,Sun,Morning,Very High,Coffee,Gourmet brewed coffee,Ethiopia Lg,Hell's Kitchen
26.00,8,56777,202301,Jan,Sun,Morning,Med,Bakery,Biscotti,Hazelnut Biscotti,Lower Manhattan
56.25,15,28307,202301,Jan,Sun,Morning,High,Coffee,Barista Espresso,Cappuccino,Hell's Kitchen
